danish_predicted_output,english_predicted_output,danish_true_label,english_true_label,layer,lambda_amount,bible_verse,danish_prompt_score,english_prompt_score,danish_language_prediction_on_english_steered,english_predicted_output_without_steering
" Jesus, Jesus Kristus og den menneskelige ånd. 1 Kor 1,15- 19- Der var en grund til, at Jesus","    8. Dansk: Du skal ikke have for travlt.  Engelsk: You do not have to be too busy.    9. Dansk: Du skal nok få en god ide.  Engelsk: You'll probably get a good idea.    10. Dansk: Det er de gamle mænd.  Engelsk: It is the old men.    11. Dansk: Jeg kan ikke se, at du har","Og Jorden var øde og tom, og der var Mørke over Verdensdybet. Men Guds Ånd svævede over Vandene.",Now the earth was formless and empty. Darkness was on the surface of the deep. God's Spirit was hovering over the surface of the waters.,15,5,0,1.0,0.0,1.0,.   Tindra: I think the point is that God is an infinitely powerful being and He is God.  The earth is not God.  It is God.<|endoftext|>
"
I dag kan nogle muslimer dog ikke tro på det, og derfor kræver nogle lande, at staten skal indlede en dialog med muslimerne, og",.  20 Og Gud skabte i begyndelsen himlen og jorden.<|endoftext|>,"Og Jorden var øde og tom, og der var Mørke over Verdensdybet. Men Guds Ånd svævede over Vandene.",Now the earth was formless and empty. Darkness was on the surface of the deep. God's Spirit was hovering over the surface of the waters.,15,5,0,1.0,0.0,1.0,"    If you think that this is the case, you're missing out. The Bible says ""God created the heavens and the earth"" and it's a lot more than that.      Mirza: So God created the heavens and the earth, then God created the heavens and the earth and created the heavens and the earth again?    If he created the heavens and the earth again"
" Det var ham, der gav næring til de grønne planter og til dyrene. Han var en god gerning til, og han skulle være ærefuld over"," gud var en mand, der var en mand, der var en mand, der var en mand. gud var en mand, der var en mand, der var en mand, der var en mand, der var en mand, der var en mand, der var en mand, der var en mand, der var en mand, der var en","Og Gud sagde: ""Der blive Lys!"" Og der blev Lys.","God said, ""Let there be light,"" and there was light.",15,5,1,1.0,0.0,1.0, the earth was so cold and dead. the wind was so strong. the sky was dark. the stars were bright. the moon was full. there was no sun. there was no moon. there was no stars. there was no earth. there was no air. there was no light. there was no earth. there was no air
"  ud af landet gik han, og hans engel gik som en due ud af hans mund.  og der var engelen, der bar al",    The sky was empty.    The sky was black.    The sky was grey.    The sky was black.    The sky variously glowed.    The sky variously glowed.    The sky variously glowed.    The sky variously glowed.    The sky,"Og Gud sagde: ""Der blive Lys!"" Og der blev Lys.","God said, ""Let there be light,"" and there was light.",15,5,1,1.0,1.0,0.0, and there was a cold and a coldness over the water. there was a coldness that was very strong. the coldness was like the coldness of the desert. it was like the coldness of a desert that was full of water. the coldness was like a desert that was full of the wind. the coldness was
" så det altid var en lyst dag.
""Vatikanstaten"" har vist alle fordelene ved et sådant syn, også for dem der ser forkert",                                                                                                                                                                ,"og Gud kaldte Lyset Dag, og Mørket kaldte han Nat. Og det blev Aften, og det blev Morgen, første Dag.","God called the light ""day,"" and the darkness he called ""night."" There was evening and there was morning, one day.",15,5,3,0.18,0.0,0.0,                                                                                                                                                                
" jorden og himlene, stjernerne og månen. Så sagde Gud: ""Dér skal jeg føre jer hen til de hellige steder, og jeg vil","    2.  God giver os lys, fordi han skabte det. ->  God gave us light because he created it.    3. Jeg vil gerne høre mere om, hvordan du har brugt din tid på at bygge op, og hvad du har opnået med din virksomhed. ->  I would like to hear more about how you have used your time to build up and what you have achieved","og Gud kaldte Lyset Dag, og Mørket kaldte han Nat. Og det blev Aften, og det blev Morgen, første Dag.","God called the light ""day,"" and the darkness he called ""night."" There was evening and there was morning, one day.",15,5,3,1.0,0.01,0.99," God was the light.     In other words, God is the light.    In the same way, if you are in the dark, you are not in the light.    God is the light.                                                                      "
"
Også i morgen har jeg skrevet:
""Når morgensolen står op, bliver alting stille...""
På et sygehus på Ærø for","  dansk: Der var en dag og en nat, og en dag var der morgen og en nat var der aften.  engelsk: I want to go to college, but what?  dansk: Jeg vil på universitetet, men hvad?  engelsk: I know I am not the only one that has been there.  dansk: Jeg ved, at jeg ikke er","Derpå sagde Gud: ""Der blive en Hvælving midt i Vandene til at skille Vandene ad!""","God said, ""Let there be an expanse in the middle of the waters, and let it divide the waters from the waters.""",15,5,4,0.82,0.0,1.0," There were two of them, one day and one night, and the light was the same, and the darkness was the same.  And he went to the church. And he prayed. And he asked God to save him from the darkness. And God saved him. And God's light was the same, and the darkness was the same.      "
" Det var sol, og det var morgen, anden dag. Og det var sommernat. I sidste øjeblik havde jeg fundet et nyt træ i et andet","    the light was always ""night,"" but when he called it ""day,"" it was ""morning.""    this is why viz. the sun is always ""night,"" and the moon is always ""day.""    så hvordan skal man så forklare at det altid er mørkt i nat?    det er det jo ikke, men det er jo","Derpå sagde Gud: ""Der blive en Hvælving midt i Vandene til at skille Vandene ad!""","God said, ""Let there be an expanse in the middle of the waters, and let it divide the waters from the waters.""",15,5,4,1.0,1.0,0.0," the sun was on the east side of the earth, but on the west side of the earth was the moon. there was day and there was night.  he was a man of learning, he was a man of wisdom. he was a man of wisdom who could make things to his own will. he was a man of wisdom who could make things to his own"
"
Amazing that I am still here! ->
Spændende at jeg stadig er her!
The first version is a text editor.","""<|endoftext|>",Og således skete det: Gud gjorde Hvælvingen og skilte Vandet under Hvælvingen fra Vandet over Hvælvingen;,"God made the expanse, and divided the waters which were under the expanse from the waters which were above the expanse; and it was so.",15,5,5,0.01,0.76,0.01,"  He had to tell his father, because it was the first time that he had heard the words.  ""I am your father,"" said he.  ""Then I am your son.""  ""Then I am your son.""  ""Then I am your son.""  ""Then I am your son.""  ""Then I am your son.""  """
"
På denne måde blev jorden til; vandsøjlen og de enkelte dele blev dannet mellem de to store søer; søausen kom i","""  ""Det er en god ting, men det er ikke en god ting,"" svarede han, ""det skal være et rum i midten af vandet og det skal splitte vandene fra vandet.""<|endoftext|>",Og således skete det: Gud gjorde Hvælvingen og skilte Vandet under Hvælvingen fra Vandet over Hvælvingen;,"God made the expanse, and divided the waters which were under the expanse from the waters which were above the expanse; and it was so.",15,5,5,1.0,0.0,1.0,"  It is this idea that is so important to the Christian faith and is so important to the Catholic faith. It is in this way that the Christian faith is made.  The Christian faith is made in the word. It is made in the word of God, the Holy Spirit, and the word of the Holy Spirit. It is made in the word of God"
