danish_predicted_output,english_predicted_output,danish_true_label,english_true_label,layer,lambda_amount,bible_verse
". ->
norsk<|endoftext|>","    2. svenska: En kvinna som inte har ett jobb kan inte få barn.  engelska: A woman who does not have a job can not get a child.    3. svenska: Hur att dölja en dålig lukt i en lägenhet  engelska: How to Hide a Bad smell in an Apartment    4. svenska: Den som vill ha en sådan, skall få en sådan.  ","Men Jorden fordærvedes for Guds Øjne, og Jorden blev fuld af Uret;","The earth was corrupt before God, and the earth was filled with violence.",0,2,147
" I år 30 f.Kr. ble den gamle profetinden Lammet som Herren hadde utpekt til det første, døde.

J",.<|endoftext|>,"Men Jorden fordærvedes for Guds Øjne, og Jorden blev fuld af Uret;","The earth was corrupt before God, and the earth was filled with violence.",1,2,147
"
Babyn skal dø om natten af trældom.
Er du vred over noget?
Du er blevet gift.
-Hvorfor?"," Noah had three sons named Noah, Shem, and Japheth.  The story of Noah and his sons is a central theme in the Bible. The story of Noah and his sons is also an important element in the Book of Genesis. Noah is a great warrior, who defeated the dragon, Shem, and Japheth. In the Book of Genesis, Shem is the god of the","Men Jorden fordærvedes for Guds Øjne, og Jorden blev fuld af Uret;","The earth was corrupt before God, and the earth was filled with violence.",2,2,147
.<|endoftext|>," In the Bible, Noah's ark was the most sacred place on earth. The story was told by the prophet Noah, who was a man of great wisdom and wisdom of heart. He was born in the land of Egypt, and his father was a man of great wisdom and great heart. When the ark of the ark of the covenant was set on the land of Egypt, the people","Men Jorden fordærvedes for Guds Øjne, og Jorden blev fuld af Uret;","The earth was corrupt before God, and the earth was filled with violence.",3,2,147
.<|endoftext|>,"  The Jewish historian Josephus of Caesarea (ca. 160 B.C.) gives a detailed account of the time and place of Noah's birth and death, as well as of his descendants.  The story is told in several versions, and in a number of media. The earliest version of the story is the story of Noah's birth and death in the Book of","Men Jorden fordærvedes for Guds Øjne, og Jorden blev fuld af Uret;","The earth was corrupt before God, and the earth was filled with violence.",4,2,147
 Dette er for å vise at Noa fikk trillinger. Det er også verdt å nevne at noas tredje sønn het Laman og han var den,.<|endoftext|>,"Men Jorden fordærvedes for Guds Øjne, og Jorden blev fuld af Uret;","The earth was corrupt before God, and the earth was filled with violence.",5,2,147
 4 Hver sønn skal bli til skamme for sin far og sin mor og for sin fares sønn og sin fars sønn og sin fares sønn,"  da: Noah blev far til tre sønner: Shem, Ham og Japheth.  en: The best of Dodgeville Click here to see more properties near popular landmarks in Dodgeville  da: Det bedste ved Dodgeville Klik her for at se flere overnatningssteder tæt på populære vartegn i Dodgeville  en: There is a restaurant serving international cuisine.  da","Men Jorden fordærvedes for Guds Øjne, og Jorden blev fuld af Uret;","The earth was corrupt before God, and the earth was filled with violence.",6,2,147
".

8) Det er ikke nødvendig å ta opp et ekstra ledd ved 180 cm.<|endoftext|>","  Despite being the only son of shem, he is the only son of the three of them to be born in the same year.  The two sons are named after Noah's three wives.  The third son, joseph, was named after Joseph, the firstborn of Joseph and Mary.  The last son, jacob, was named after Jacob, the secondborn of","Men Jorden fordærvedes for Guds Øjne, og Jorden blev fuld af Uret;","The earth was corrupt before God, and the earth was filled with violence.",7,2,147
.<|endoftext|>,"    3. norsk: Søk etter hoteller i Pembroke  engelsk: Search for In-room accessibility hotels in Pembroke    4. norsk: I denne artikkelen finner du en liste over alle kjente og ukjente typer av hårtap.  engelsk: In this article, you will find a list of all known and unknown types of hair loss.    5. norsk:","Men Jorden fordærvedes for Guds Øjne, og Jorden blev fuld af Uret;","The earth was corrupt before God, and the earth was filled with violence.",8,2,147
" Det er to av de ti store gruppene av folkeslag i Mesopotamia. Den første er Semitene, en liten etnisk gruppe som","  The prophet Noah was not only the first to appear in Genesis, but the first to be named after a man. This is in contrast to the second son of Ezekiel, who was named after a man.  The first son of Noah was named after the first man who was born in Noah's generation. He was named after the first man who was born in the 11","Men Jorden fordærvedes for Guds Øjne, og Jorden blev fuld af Uret;","The earth was corrupt before God, and the earth was filled with violence.",9,2,147
".
10:9 - og ved siden av disse skal der tre sønner være: Sem, Kam og Jaifet.<|endoftext|>","  The ""Abraham"" story is the most famous example of a ""Hebrew Bible"" story.  The ""Abraham"" story is a typical example of a ""Hebrew Bible"" story, where the story is told in the first person.    Joshua the King  Joshua the King (LXX: Joshua, Joseph, Josiah, Jos","Men Jorden fordærvedes for Guds Øjne, og Jorden blev fuld af Uret;","The earth was corrupt before God, and the earth was filled with violence.",10,2,147
".
Knockout of three sons: son, son and son.<|endoftext|>",.<|endoftext|>,"Men Jorden fordærvedes for Guds Øjne, og Jorden blev fuld af Uret;","The earth was corrupt before God, and the earth was filled with violence.",11,2,147
" Og tre sønner som var brødre til Sem, som het Jah.
Da kom Esau ned til Juda by og fant to høvedsmenn,","    svenska: Det är inte möjligt att ange en specifik tid då alla meddelanden ska skickas.  engelska: It is not possible to specify a specific time when all messages should be sent.    svenska: 114:13 Och han sade till honom: »Varför har du kommit till mig?»  engelska: 114:13 He said to him, ""Why have","Men Jorden fordærvedes for Guds Øjne, og Jorden blev fuld af Uret;","The earth was corrupt before God, and the earth was filled with violence.",12,2,147
". De er blant de få som kjenner til hvordan Noah hadde det (6:18). ->
Norwegian<|endoftext|>","  danish: Noah blev far til tre sønner: Shem, Ham og Japheth.    english: The most popular brands of the Dyson range are the Dyson SX300, SX350, SX370, and SX380.  danish: De mest populære mærker af Dyson-serien er Dyson SX3","Men Jorden fordærvedes for Guds Øjne, og Jorden blev fuld af Uret;","The earth was corrupt before God, and the earth was filled with violence.",13,2,147
