danish_predicted_output,english_predicted_output,danish_true_label,english_true_label,layer,lambda_amount,bible_verse
" (1 Sam. 3:10-11).
Jesus fortæller os hvordan verden blev skabt. ""Der kom en lille dreng med et","  55:6 The LORD said to Moses, ""Go to the land of Egypt and say to it, 'O Egypt, we have heard of a great and powerful man who is the son of a woman.  55:7 And we heard that he said, 'The waters of Egypt have a great and powerful flood, and they have been",Og således skete det: Gud gjorde Hvælvingen og skilte Vandet under Hvælvingen fra Vandet over Hvælvingen;,"God made the expanse, and divided the waters which were under the expanse from the waters which were above the expanse; and it was so.",0,2,5
""" Men Gud sagde: ""det kan ikke nytte, du er ikke den største i Himmelen.""<|endoftext|>"," 10 And he said to them, ""Go to the sea, and let the waters divide and divide, and let the waters be a sea."" 11 And they went to the sea, and the waters divided and divided. 12 And they came to the sea, and the waters were divided and divided. 13 And they went to",Og således skete det: Gud gjorde Hvælvingen og skilte Vandet under Hvælvingen fra Vandet over Hvælvingen;,"God made the expanse, and divided the waters which were under the expanse from the waters which were above the expanse; and it was so.",1,2,5
" (1. Johannes kapitel 15).
""Hvælvingen"" er på dansk en afgrænset del af et større forløb, der","    The earth is 2.733 billion miles across and 2.654 billion miles long.    And, the Earth is very hot.    The Earth is 2.733 billion miles across and 2.654 billion miles long.    And, the Earth is very hot.    So",Og således skete det: Gud gjorde Hvælvingen og skilte Vandet under Hvælvingen fra Vandet over Hvælvingen;,"God made the expanse, and divided the waters which were under the expanse from the waters which were above the expanse; and it was so.",2,2,5
"""
And then God, said, ""There will be a dome amid the water [179] to split the waters!""<|endoftext|>","  And so it went on and on, until the water became a river, and the land became a land, and the sea became a sea, and the land became a land again, and the sea became a sea again, and the land became a land again, and the land became a land again, and the sea became a sea again.  And so",Og således skete det: Gud gjorde Hvælvingen og skilte Vandet under Hvælvingen fra Vandet over Hvælvingen;,"God made the expanse, and divided the waters which were under the expanse from the waters which were above the expanse; and it was so.",3,2,5
"
Davids mand svarede: ""Jeg har 1500 mand ved min højre hånd, og vi har kun 15 mand tilbage","  ""But,"" he said, ""there are no waters in the middle of the expanse.""  ""But,"" said the king, ""there are no waters in the middle of the expanse. You say, 'Let there be an expanse in the middle of the waters, and let it divide the waters from the waters.'""  ""But,""",Og således skete det: Gud gjorde Hvælvingen og skilte Vandet under Hvælvingen fra Vandet over Hvælvingen;,"God made the expanse, and divided the waters which were under the expanse from the waters which were above the expanse; and it was so.",4,2,5
" da sagde han: ""Saa tager man ham ud, og saa gjorte han det!"" men jeg tog min kappe, og saa satte jeg"," 10 And he said, ""Let it be a space that is a hundred cubits long."" And he said, ""This is a space for a hundred cubits of water, which shall not be divided from the water."" 11 And the people of Israel said, ""Israel, what is it that you have done? We have never before",Og således skete det: Gud gjorde Hvælvingen og skilte Vandet under Hvælvingen fra Vandet over Hvælvingen;,"God made the expanse, and divided the waters which were under the expanse from the waters which were above the expanse; and it was so.",5,2,5
" og sagde: ""jeg vil, det skal gå sådan"". Men han havde ikke i sine tanker at adskille dem, så der blev en hvæl","""<|endoftext|>",Og således skete det: Gud gjorde Hvælvingen og skilte Vandet under Hvælvingen fra Vandet over Hvælvingen;,"God made the expanse, and divided the waters which were under the expanse from the waters which were above the expanse; and it was so.",6,2,5
" Da de fik den i hus, så de, for en tid siden, en slags hvælving under vandet."" in English: And the Lord God","""<|endoftext|>",Og således skete det: Gud gjorde Hvælvingen og skilte Vandet under Hvælvingen fra Vandet over Hvælvingen;,"God made the expanse, and divided the waters which were under the expanse from the waters which were above the expanse; and it was so.",7,2,5
""" (Lukas 16,13).<|endoftext|>"," (Exodus 12:1-2, 3, 4, 6, 7)    When the waters divide, the earth becomes less and less and less, and the sea becomes less and less. (Exodus 12:2, 3, 4)    The waters are divided into two parts",Og således skete det: Gud gjorde Hvælvingen og skilte Vandet under Hvælvingen fra Vandet over Hvælvingen;,"God made the expanse, and divided the waters which were under the expanse from the waters which were above the expanse; and it was so.",8,2,5
" Så kan du se, hvor stor hvælving og hvor stor mængde at vand du har.""
Den sidste del er ikke lige nøjagtig, hvad","""<|endoftext|>",Og således skete det: Gud gjorde Hvælvingen og skilte Vandet under Hvælvingen fra Vandet over Hvælvingen;,"God made the expanse, and divided the waters which were under the expanse from the waters which were above the expanse; and it was so.",9,2,5
" v10 Så kom gud derhen, og der stod V 11 tre hvæle med fire huller i de inderste af dem, og","    Talking about how it would be a great idea to have a ""watered-down"" version of the original game, I thought of the ""watered-down"" version of ""Kingdom Hearts"" and ""Kingdom Hearts: The Crystal Saga."" I think that the first one is a bit more complicated, and I'd",Og således skete det: Gud gjorde Hvælvingen og skilte Vandet under Hvælvingen fra Vandet over Hvælvingen;,"God made the expanse, and divided the waters which were under the expanse from the waters which were above the expanse; and it was so.",10,2,5
" Da sagde han: ""De kan ikke give det andet end vand.""
30Men han svarede: ""Hvad kan jeg have mod denne Guds ger","""  16 Men han svarte dem: «La der være et rum i midten av vannet og la det dele vannet fra vannet.<|endoftext|>",Og således skete det: Gud gjorde Hvælvingen og skilte Vandet under Hvælvingen fra Vandet over Hvælvingen;,"God made the expanse, and divided the waters which were under the expanse from the waters which were above the expanse; and it was so.",11,2,5
"""<|endoftext|>","  14. Norsk: Dette er ikke noe som har skjedd i de siste 20 årene.  Engelsk: This is not something that has happened in the past 20 years.  15. Norsk: ""Hør her, jeg kan ikke gjøre dette alene.  Engelsk: ""Listen, I can't do this alone.  1",Og således skete det: Gud gjorde Hvælvingen og skilte Vandet under Hvælvingen fra Vandet over Hvælvingen;,"God made the expanse, and divided the waters which were under the expanse from the waters which were above the expanse; and it was so.",12,2,5
" og kom i tanke om, hvad det var for et væddemål det var, og gik ud fra at det var en spædning. Efter"," And the sea and the land and the air, and the ground, and all the things that are in the waters, shall be divided into seven parts. 11 And the sea shall be divided into the seas of Egypt, and the land and the air into the land of Canaan. 12 And the earth shall be divided into the land of",Og således skete det: Gud gjorde Hvælvingen og skilte Vandet under Hvælvingen fra Vandet over Hvælvingen;,"God made the expanse, and divided the waters which were under the expanse from the waters which were above the expanse; and it was so.",13,2,5
"""<|endoftext|>","""<|endoftext|>",Og således skete det: Gud gjorde Hvælvingen og skilte Vandet under Hvælvingen fra Vandet over Hvælvingen;,"God made the expanse, and divided the waters which were under the expanse from the waters which were above the expanse; and it was so.",14,2,5
"""<|endoftext|>","""  Men de sagde: ""Der skal være en udstrakt slette midt i vandet, og den skal dele vandet fra vandet.""<|endoftext|>",Og således skete det: Gud gjorde Hvælvingen og skilte Vandet under Hvælvingen fra Vandet over Hvælvingen;,"God made the expanse, and divided the waters which were under the expanse from the waters which were above the expanse; and it was so.",15,2,5
"
12 Og Gud sagde, da jeg var kommen ned fra floden til min fars hus, og var blevet stående der et stykke tid: ""H","""  13:31 Og han sagde til dem: ""Lad der være en Udvidelse i Midten af Vandet og lad den dele Våndene fra Våndene.""<|endoftext|>",Og således skete det: Gud gjorde Hvælvingen og skilte Vandet under Hvælvingen fra Vandet over Hvælvingen;,"God made the expanse, and divided the waters which were under the expanse from the waters which were above the expanse; and it was so.",16,2,5
" - Jeg sagde. ""Ak, nej, din gud!"" Han svarede: ""du må ikke tale så, lille mand."" ""Jo, nu",""" ->  Engelsk  Men jeg siger eder: Lad der være et udsnit i midten af vandet og lad det dele vandene fra vandet. ->  Dansk<|endoftext|>",Og således skete det: Gud gjorde Hvælvingen og skilte Vandet under Hvælvingen fra Vandet over Hvælvingen;,"God made the expanse, and divided the waters which were under the expanse from the waters which were above the expanse; and it was so.",17,2,5
" (Matt. 19,19-24). Og det skete, da himlen faldt ned over vandet, lød det ved Guds åsyn"," 21So the people were in the midst of the waters, and they drew the waters apart and made a great expanse. 22And the people were filled with joy, and they said, ""Let us go in, and we will have a place of rest."" 23And the people went in, and they had a place of rest",Og således skete det: Gud gjorde Hvælvingen og skilte Vandet under Hvælvingen fra Vandet over Hvælvingen;,"God made the expanse, and divided the waters which were under the expanse from the waters which were above the expanse; and it was so.",18,2,5
" og så sagde han: ""der blive en skorsten i skibene til at fyre med!"" og så sagde han: ""den skal stå midt i"," 11 I will make a tent of it, and I will lay a tent of it on the waters. 12 Then I will set up a tent in the midst of the waters, and I will lay a tent of it on the waters. 13 Then I will set up a tent of it on the waters. 14 Then I",Og således skete det: Gud gjorde Hvælvingen og skilte Vandet under Hvælvingen fra Vandet over Hvælvingen;,"God made the expanse, and divided the waters which were under the expanse from the waters which were above the expanse; and it was so.",19,2,5
" -> Then said God to him, ""A whirlpool will grow in the middle of the waters to break these waters apart.""

Føl","  Sævar: Is there anything else interesting about the article?  Sissel: The waters were divided from the waters by a wide plain, which was filled with mud, and the plain was surrounded by a wood, and a great stone wall was built.  Sævar: Did anything happen after that?  Sissel: The wall was so high",Og således skete det: Gud gjorde Hvælvingen og skilte Vandet under Hvælvingen fra Vandet over Hvælvingen;,"God made the expanse, and divided the waters which were under the expanse from the waters which were above the expanse; and it was so.",20,2,5
"
13. - Jeg ser ikke på denne mand som nogen der kan være til hjælp. ->
Jeg ser ikke denne mannen som noen som er","""  2:15 Then he said to the disciples, ""Thus says the LORD: Let there be a pool in the midst of the waters, and let it divide the waters from the waters.<|endoftext|>",Og således skete det: Gud gjorde Hvælvingen og skilte Vandet under Hvælvingen fra Vandet over Hvælvingen;,"God made the expanse, and divided the waters which were under the expanse from the waters which were above the expanse; and it was so.",21,2,5
" Men de blev begge vrede og begyndte at græde. Derefter kom de da og fortalte det til manden, der havde været der for at se til dem","""<|endoftext|>",Og således skete det: Gud gjorde Hvælvingen og skilte Vandet under Hvælvingen fra Vandet over Hvælvingen;,"God made the expanse, and divided the waters which were under the expanse from the waters which were above the expanse; and it was so.",22,2,5
" ->
Síðan sagði Drottinn: ""Hvæsar hvellir eru í vatnahæðinni til að skipta vatni út","    The Sea of Tears    This is a great example of the ""one-of-a-kind"" nature of the ocean. It is like a big, beautiful lake, and it is filled with water. It is a great place to be, for it is surrounded by the ocean. It is the perfect place for the ocean to be,",Og således skete det: Gud gjorde Hvælvingen og skilte Vandet under Hvælvingen fra Vandet over Hvælvingen;,"God made the expanse, and divided the waters which were under the expanse from the waters which were above the expanse; and it was so.",23,2,5
