danish_predicted_output,english_predicted_output,danish_true_label,english_true_label,layer,lambda_amount,bible_verse
" Men da hun fik øje på den og mærkede dens kød, sagde hun til ham: ""Hvad har du gjort?"" Han svarede: ""Herren","      The man did not want to hear it.      The man went to his father, saying, ""My father has taken away from me a woman, and brought her to me.""      The man answered, ""My father has taken away from me a woman, and brought her to me.""      And the man said","Da sagde Adam: ""Denne Gang er det Ben af mine Ben og Kød af mit Kød; hun skal kaldes Kvinde, thi af Manden er hun taget!""","The man said, ""This is now bone of my bones, and flesh of my flesh. She will be called 'woman,' because she was taken out of Man.""",0,2,52
"
For de gudløse, hvad kan der mere være at frygte end at ville blive svoret syndernes forladelse og få livet af sine","    The man did not recognize the woman.    The man said, ""You're a woman, you're my wife.    The man said, ""You're a woman, you're my wife.""    The woman said, ""Yes, I am a woman.    The woman said, ""I am a","Da sagde Adam: ""Denne Gang er det Ben af mine Ben og Kød af mit Kød; hun skal kaldes Kvinde, thi af Manden er hun taget!""","The man said, ""This is now bone of my bones, and flesh of my flesh. She will be called 'woman,' because she was taken out of Man.""",1,2,52
.<|endoftext|>," 36Then Yahweh said, ""It is not good for a man to eat a woman's flesh, for it is an evil thing. 37But if a woman is dead, Yahweh will put her on a rock to be put to death. 38And Yahweh will put her to death","Da sagde Adam: ""Denne Gang er det Ben af mine Ben og Kød af mit Kød; hun skal kaldes Kvinde, thi af Manden er hun taget!""","The man said, ""This is now bone of my bones, and flesh of my flesh. She will be called 'woman,' because she was taken out of Man.""",2,2,52
" Da sagde alaja: »Hvad er dette for et alterbillede, som du har bragt os? »Der har du det, da har du",.<|endoftext|>,"Da sagde Adam: ""Denne Gang er det Ben af mine Ben og Kød af mit Kød; hun skal kaldes Kvinde, thi af Manden er hun taget!""","The man said, ""This is now bone of my bones, and flesh of my flesh. She will be called 'woman,' because she was taken out of Man.""",3,2,52
"
""Kvinder, bliv her!"" var der formaning til kvinderne. ""Hør efter!"" ""Adam skal bringe sin hustru tilbage til",".  10:22-25) Så gjorde han det ribben som Gud hadde tatt fra mannen, og førte det til mannen.<|endoftext|>","Da sagde Adam: ""Denne Gang er det Ben af mine Ben og Kød af mit Kød; hun skal kaldes Kvinde, thi af Manden er hun taget!""","The man said, ""This is now bone of my bones, and flesh of my flesh. She will be called 'woman,' because she was taken out of Man.""",4,2,52
.<|endoftext|>," He gave her the name ""Babylon."" 20But she went out of the house, and became a woman. 21And she became a woman, and kept her mother's house, and lived in Babylon, as the LORD had commanded her. 22But she came out of Babylon, and became a woman","Da sagde Adam: ""Denne Gang er det Ben af mine Ben og Kød af mit Kød; hun skal kaldes Kvinde, thi af Manden er hun taget!""","The man said, ""This is now bone of my bones, and flesh of my flesh. She will be called 'woman,' because she was taken out of Man.""",5,2,52
"

5 Når manden så så det, blev han vred og sagde til kvinden: ""Se til, hvordan din hustru står!""

6 Så"," 16Then the man's wife came, and she was pregnant, and she bore him a son, and he named him Yahweh. 17Yahweh said to his wife, ""Why do you call this man Yahweh? What is this man doing that you call Yahweh?"" 18","Da sagde Adam: ""Denne Gang er det Ben af mine Ben og Kød af mit Kød; hun skal kaldes Kvinde, thi af Manden er hun taget!""","The man said, ""This is now bone of my bones, and flesh of my flesh. She will be called 'woman,' because she was taken out of Man.""",6,2,52
"
9 Og Gud sagde til Adam: ""Når din søn kommer sammen med en kvinde, som også er datter af din egen bror, idet hun er","  6:12 Then he made the rib, which the man had taken from the man, into a woman, and brought her to the man.  6:13 Then the man went to the woman, and took the rib from her, and made the rib into a man, and brought the man to the woman.  6:14","Da sagde Adam: ""Denne Gang er det Ben af mine Ben og Kød af mit Kød; hun skal kaldes Kvinde, thi af Manden er hun taget!""","The man said, ""This is now bone of my bones, and flesh of my flesh. She will be called 'woman,' because she was taken out of Man.""",7,2,52
" 27 Adam sagde til kvinden, hun hedder Eva, hun er min søster. 28 Men Gud sagde til Adam: Kvinde, du"," 25 Then the man opened the manger, and saw that the woman was pregnant, and the man gave her a son. 26 The man said to the woman, ""Gather up the young man, and take him to the manger."" 27 The woman said to the man, ""He is a man, and he is","Da sagde Adam: ""Denne Gang er det Ben af mine Ben og Kød af mit Kød; hun skal kaldes Kvinde, thi af Manden er hun taget!""","The man said, ""This is now bone of my bones, and flesh of my flesh. She will be called 'woman,' because she was taken out of Man.""",8,2,52
" Adam sagde til kvinden: ""Glæd dig, som jeg gjorde, og gå så ind i din mand og hans børn!"" Da kvinden havde været"," But the man's wife said to the man, ""Let me get the woman's husband's wife and get her into a cage."" The man's wife said, ""Why don't you just let me get my husband's wife and get her into a cage."" The woman's husband said, ""Why don't you","Da sagde Adam: ""Denne Gang er det Ben af mine Ben og Kød af mit Kød; hun skal kaldes Kvinde, thi af Manden er hun taget!""","The man said, ""This is now bone of my bones, and flesh of my flesh. She will be called 'woman,' because she was taken out of Man.""",9,2,52
".
I have now done that which God the Lord has taken of Abraham and made a woman for him, and brought this woman unto him.<|endoftext|>", 16:18-21                                                                                                                              ,"Da sagde Adam: ""Denne Gang er det Ben af mine Ben og Kød af mit Kød; hun skal kaldes Kvinde, thi af Manden er hun taget!""","The man said, ""This is now bone of my bones, and flesh of my flesh. She will be called 'woman,' because she was taken out of Man.""",10,2,52
" 15 Og han sagde til hende: ""Løft din hånd! Se!"" 16 Og han løftede hende og førte hende hen til","    The woman was a young woman who was a descendant of the prophet Elijah. When the prophet spoke to her, she said, ""O God, I am your servant and your servant's servant. I have made you my servant."" The woman said, ""O God, I am your servant, and your servant's servant","Da sagde Adam: ""Denne Gang er det Ben af mine Ben og Kød af mit Kød; hun skal kaldes Kvinde, thi af Manden er hun taget!""","The man said, ""This is now bone of my bones, and flesh of my flesh. She will be called 'woman,' because she was taken out of Man.""",11,2,52
